,y,prd_y
660,3.51,3.6495700921047463
661,4.07,3.987273023649571
662,4.09,3.9154318245574324
663,4.09,3.921586384629934
664,4.43,4.167095510924131
665,3.94,3.9276761154424222
666,3.93,3.876864251466276
667,4.0,4.0092127284961645
668,3.94,3.931055080305217
669,3.76,3.967575704655094
670,4.1,3.905145495437871
671,4.35,4.177280203464136
672,4.34,3.98279950192565
673,4.16,3.959514021282937
674,4.3,4.2795546036069645
675,3.96,3.8887063132774764
676,3.91,3.996365772586025
677,3.53,3.7730932248694784
678,3.41,3.8085620065601833
679,3.96,3.933932397722852
680,3.75,3.752337337679395
681,4.1,3.974311688508234
682,4.05,3.9599024406302
683,3.86,3.961420083373785
684,3.67,3.943556018579589
685,4.15,3.970862358201192
686,3.62,3.7906699720066785
687,3.85,3.9728139867820933
688,3.59,3.9652022164441525
689,4.03,3.865476076661541
690,4.02,3.885019904204959
691,3.76,3.92280589421842
692,4.17,4.090289644907232
693,4.17,3.881713663714224
694,3.85,3.845081598950315
695,3.88,3.6268979922675855
696,4.05,3.9912795007267303
697,4.09,4.0480304854922515
698,4.29,3.9285946494546216
699,3.64,3.8875570162887922
700,4.06,3.8182624055350813
701,4.11,3.9316548342106405
702,4.02,3.9769822808831123
703,4.03,3.9748680112006114
704,3.83,3.809023022617319
705,4.2,4.185737717118236
706,4.23,3.924715471199811
707,3.78,3.8240588391873653
708,4.21,3.9995873003566875
709,4.33,3.939977802107244
710,3.91,3.990642999391167
711,4.0,3.850190296964277
712,3.99,3.8496149340151598
713,3.96,3.9334456521091776
714,3.56,3.853054066640794
715,4.31,3.9448218824059356
716,4.16,3.898064734086851
717,3.75,3.918387184409529
718,4.18,3.954576666012254
719,3.96,3.89320851023681
720,3.73,3.715236882689423
721,3.72,3.9018207034023953
722,4.01,4.152742050208511
723,3.9,3.7732026682182807
724,4.58,4.23920350374711
725,4.06,4.008990640356869
726,4.05,3.8292579965401106
727,3.89,3.913770694839729
728,3.76,3.9160130742490398
729,4.07,3.942845462735224
730,3.8,3.7801895868559847
731,4.14,3.731717019588326
732,4.18,3.9109429218676452
733,4.04,3.9923626449134866
734,4.11,3.938288791644634
735,4.33,4.215049456867346
736,3.82,4.03406546656743
737,3.71,3.8933326322672728
738,3.68,3.99460753609647
739,4.09,3.9120063749217526
740,3.32,3.8871703128624673
741,4.04,3.8888105335906515
742,4.16,3.9013558356518714
743,3.47,3.848697367787716
744,3.88,3.8830213690412525
745,4.27,4.133952186704221
746,3.98,3.9518216801708035
747,3.63,3.7689614314111037
748,3.78,3.807599133527551
749,3.79,3.806694672844499
750,4.23,3.9767250081567753
751,3.76,3.913915206030023
752,4.23,4.074580973502533
753,4.1,4.045047130236851
754,3.75,3.8465551001449394
755,3.49,3.9404250431190824
756,4.0,3.8950924185306657
757,3.78,3.94203379901796
758,4.23,3.9213930078966786
759,3.91,3.98307273067141
760,3.56,3.8485713952748513
761,3.96,4.000307266886402
762,4.23,4.093031987926494
763,3.76,3.82839205902305
764,3.99,3.9220855674041144
765,4.13,4.031154864791134
766,3.97,3.879965868013987
767,3.83,3.951877263068558
768,3.97,3.8927812295541036
769,4.25,3.9654591834152835
770,3.5,3.8947607712228076
771,4.38,3.883813403727594
772,3.78,3.8818420839636114
773,4.26,3.938422014668206
774,3.62,3.6559312377518034
775,3.32,3.656983211602277
776,4.14,4.009671487438997
777,3.89,3.8209491976747096
778,3.92,3.9558869216296686
779,4.16,3.871205355135696
780,3.79,3.961130451382028
781,3.85,3.865387258974669
782,3.95,3.918846337858579
783,3.6,3.885297069643849
784,4.21,3.989679526207896
785,3.76,3.7418847646941296
786,3.85,3.9447495970896855
787,3.94,3.917729734318058
788,4.1,4.025167671793948
789,3.99,4.033191251502265
790,3.87,3.988161967190171
791,4.18,4.200867924983999
